male,round,trial_round,date,motif_count.x,motif_count.y,motif_prop,temp_mean,humidity_mean,chamber,counter,test_order,temp_target,temp_median,motif_rate,mass,bill_length,bill_depth,bill_width,bill_date,n_obs_completed,motif_count_plus_1,log_motif_count_plus_1,temp,count_total_round,n_obs_round,count_mean_round,count_sd_round,count_cv_round,count_total,n_obs,count_mean,trial,motif_prop_round,weights,svp,vpd,vpd_offset,song_count,song_motif_count,song_motif_mean,song_motif_sd,song_length_sum,song_length_sd,song_motif_length_mean,song_motif_length_sd,post_song_motif_occurances,post_song_motif_freq,file,start_song,end_song,motif,post_song_motif,notes,song_start,song_end,song_length,date_file,motif_misc
T231,1,1,2022-02-13,57,57,0.04305135951661632,42.79839,10.77151,2,RAS,1,42,43,NA,NA,NA,NA,NA,NA,TRUE,58,4.060443010546419,42.79839,389,5,77.8,82.50878741079643,1.0605242597788744,1324,13,101.84615384615384,1,0.14652956298200515,0.017241379310344827,89.68091812170277,80.02092905813176,NA,15,55,3.6666666666666665,1.9880595947760098,45,1.7728105208558367,0.8094444444444444,0.19837801284123194,2,0.03636363636363636,NA,NA,NA,2,NA,,NA,NA,NA,NA,2
T231,1,2,2022-02-15,7,0,0.005287009063444109,45.04301,8.75,2,RAS,2,44,45,NA,NA,NA,NA,NA,NA,TRUE,8,2.0794415416798357,45.04301,389,5,77.8,82.50878741079643,1.0605242597788744,1324,13,101.84615384615384,2,0.017994858611825194,0.125,101.21048427454036,92.35456690051808,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
T231,1,3,2022-02-17,86,87,0.0649546827794562,41.12903,16.53763,2,KIM,3,40,41,NA,NA,NA,NA,NA,NA,TRUE,87,4.465908118654584,41.12903,389,5,77.8,82.50878741079643,1.0605242597788744,1324,13,101.84615384615384,3,0.2210796915167095,0.011494252873563218,81.87466223083975,68.33453352735373,NA,19,82,4.315789473684211,2.135744251723958,81,1.8511889651776021,1.0239139515455304,0.20355814226994862,4,0.04878048780487805,NA,NA,NA,5,NA,,NA,NA,NA,NA,5
T231,1,4,2022-02-19,24,24,0.01812688821752266,27.24462,17.29032,2,RAS,4,27,27,NA,NA,NA,NA,NA,NA,TRUE,25,3.2188758248682006,27.24462,389,5,77.8,82.50878741079643,1.0605242597788744,1324,13,101.84615384615384,4,0.061696658097686374,0.04,36.91198411462645,30.52978394285837,NA,9,24,2.6666666666666665,1,21,1.3228756555322954,0.8333333333333334,0.25,0,0,NA,NA,NA,0,NA,,NA,NA,NA,NA,0
T231,1,5,2022-02-21,215,211,0.1623867069486405,36.51075,12.65054,2,RAS,5,35,36.5,NA,NA,NA,NA,NA,NA,TRUE,216,5.375278407684165,36.51075,389,5,77.8,82.50878741079643,1.0605242597788744,1324,13,101.84615384615384,5,0.5526992287917738,0.004629629629629629,63.31569930840353,55.30592144111422,NA,62,205,3.306451612903226,1.5213099368142622,167,1.2878843965712847,0.8160906298003072,0.18766202024737869,6,0.02926829268292683,NA,NA,NA,6,NA,,NA,NA,NA,NA,6
T231,2,1,2022-05-05,14,17,0.010574018126888218,39.03005,23.80055,2,KIM,NA,40,40.5,NA,NA,NA,NA,NA,NA,TRUE,15,2.70805020110221,39.03005,311,3,103.66666666666667,137.52211943296007,1.3265799302214798,1324,13,101.84615384615384,6,0.04501607717041801,0.06666666666666667,72.91554823479972,55.56124671940209,NA,3,15,5,2,14,1.1547005383792515,0.9968253968253968,0.29282165225651313,1,0.06666666666666667,NA,NA,NA,2,NA,,NA,NA,NA,NA,2
T231,2,2,2022-05-07,262,249,0.19788519637462235,40.52869,21.61066,2,KIM,NA,40,41.5,NA,NA,NA,NA,NA,NA,TRUE,263,5.572154032177765,40.52869,311,3,103.66666666666667,137.52211943296007,1.3265799302214798,1324,13,101.84615384615384,7,0.842443729903537,0.0038022813688212928,79.21790138680048,62.09839005896374,NA,83,242,2.9156626506024095,0.9397044070410657,196,0.9700177676649329,0.8146586345381526,0.21960789136767903,4,0.01652892561983471,NA,NA,NA,7,NA,,NA,NA,NA,NA,7
T231,2,3,2022-05-09,35,33,0.026435045317220542,39.40984,22.51503,2,KIM,NA,40,41,NA,NA,NA,NA,NA,NA,TRUE,36,3.58351893845611,39.40984,311,3,103.66666666666667,137.52211943296007,1.3265799302214798,1324,13,101.84615384615384,8,0.11254019292604502,0.027777777777777776,74.4692269861028,57.702458189413655,NA,10,30,3,1.0540925533894598,24,1.0749676997731399,0.8049999999999999,0.2991809807779553,3,0.1,NA,NA,NA,3,NA,,NA,NA,NA,NA,3
T231,3,1,2022-06-24,59,58,0.0445619335347432,34.5242826,25.61865342,1,KIM,1,35,35,1.97,18.5,9.3,8,7.1,07/11/22,TRUE,60,4.0943445622221,34.5242826,624,5,124.8,71.04012950438646,0.5692318069261736,1324,13,101.84615384615384,9,0.09455128205128205,0.016666666666666666,56.55376670216934,42.065453214785215,NA,18,54,3,1.0846522890932808,44,0.8555852638929972,0.8333333333333334,0.16666666666666669,1,0.018518518518518517,NA,NA,NA,4,NA,,NA,NA,NA,NA,4
T231,3,2,2022-06-26,46,45,0.03474320241691843,43.0728477,19.23289183,1,KIM,2,44,44,1.53,NA,NA,NA,NA,,TRUE,47,3.8501476017100584,43.0728477,624,5,124.8,71.04012950438646,0.5692318069261736,1324,13,101.84615384615384,10,0.07371794871794872,0.02127659574468085,91.02538716660331,73.51857291501179,NA,11,39,3.5454545454545454,1.6348477827391983,34,1.4459976109624424,0.8831168831168831,0.19655898858250886,0,0,NA,NA,NA,6,NA,,NA,NA,NA,NA,6
