male,date,motif_count,song_count,song_motif_count,song_motif_mean,song_motif_sd,song_motif_cv,song_length_sum,song_length_mean,song_length_sd,song_length_cv,song_start_mean,song_start_sd,song_start_cv,motifs_per_sec_mean,motifs_per_sec_sd,motifs_per_sec_cv,post_song_motif_occurances,post_song_motif_freq,file,start_song,end_song,misc_motif_count,post_song_motif,notes,song_start,song_end,song_length,date_file,round,trial,trial_round,counter,temp,temp_target,humidity_mean,vpd,chamber,mass,bill_length,bill_depth,bill_width,bill_date
T230,2022-05-28,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,2,8,3,KIM,38.60109,40,24.22268,53.94986633627256,4,NA,NA,NA,NA,NA
T230,2022-06-06,9,3,9,3,2.6457513110645907,0.8819171036881969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,3,9,1,KIM,39.2935982,40,24.34492274,55.9776561741266,6,18.5,8.2,7.4,6.5,06/23/22
T230,2022-06-08,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,3,10,2,KIM,33.4254967,35,35.40286976,34.298133845283395,6,NA,NA,NA,NA,
T230,2022-06-10,14,3,14,4.666666666666667,2.0816659994661326,0.4460712855998855,9,3,1.7320508075688772,0.5773502691896257,8863.666666666666,6.506407098647712,7.34053675903243e-4,1.6333333333333333,0.3214550253664319,0.19680919920393788,0,0,NA,NA,NA,0,NA,,NA,NA,NA,NA,3,11,3,KIM,41.3907285,42,22.30905077,64.52794951552592,6,NA,NA,NA,NA,
T230,2022-06-12,6,2,6,3,0,0,5,2.5,0.7071067811865476,0.282842712474619,7245.5,2.1213203435596424,2.9277763350488476e-4,1.25,0.3535533905932738,0.282842712474619,0,0,NA,NA,NA,0,NA,,NA,NA,NA,NA,3,12,4,KIM,30.9966887,27,35.25662252,29.8520633658075,6,NA,NA,NA,NA,
T230,2022-06-14,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,3,13,5,KIM,42.6244469,44,28.18086283,63.802644579280084,6,NA,NA,NA,NA,
T231,2022-02-13,57,15,55,3.6666666666666665,1.9880595947760098,0.5421980713025482,45,3,1.7728105208558367,0.5909368402852789,2596.9333333333334,366.3205985914264,0.1410589151016942,1.322857142857143,0.38930864938991006,0.2942937954351372,2,0.03636363636363636,NA,NA,NA,2,NA,,NA,NA,NA,NA,1,1,1,RAS,42.79839,42,10.77151,80.02092905813176,2,NA,NA,NA,NA,NA
T231,2022-02-15,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,2,2,RAS,45.04301,44,8.75,92.35456690051808,2,NA,NA,NA,NA,NA
T231,2022-02-17,87,19,82,4.315789473684211,2.135744251723958,0.4948675705214049,81,4.2631578947368425,1.8511889651776021,0.4342295103503017,794.8421052631579,459.12153597421417,0.5776260881677969,1.01234335839599,0.1969402548761032,0.19453899039565556,4,0.04878048780487805,NA,NA,NA,5,NA,,NA,NA,NA,NA,1,3,3,KIM,41.12903,40,16.53763,68.33453352735373,2,NA,NA,NA,NA,NA
T231,2022-02-19,24,9,24,2.6666666666666665,1,0.375,21,2.3333333333333335,1.3228756555322954,0.5669467095138409,3476.222222222222,58.15663714869047,0.016729838724612103,1.3333333333333333,0.5,0.375,0,0,NA,NA,NA,0,NA,,NA,NA,NA,NA,1,4,4,RAS,27.24462,27,17.29032,30.52978394285837,2,NA,NA,NA,NA,NA
